					Number of best measure clusters
					K = 27	QM = 1.883144
					Centers of the clusters:

C1	0.05	0.09	0.08	0.11	0.11	0.08	0.02	0.06	0.08	0.02	0.04	0.05	0.13	
	0.03	0.11	0.08	0.06	0.03	0.08	0.10	0.06	0.11	0.10	0.11	0.13	0.13	
	0.11	0.14	0.10	0.05	0.14	0.08	0.09	0.04	0.07	0.14	0.08	0.09	0.11	
	0.12	0.16	0.09	0.11	0.11	0.15	0.12	0.19	0.12	0.16	0.15	0.20	0.85	

C2	0.70	0.73	0.47	0.25	0.56	0.23	0.80	0.22	0.47	0.25	0.31	0.20	0.59	
	0.17	0.32	0.30	0.35	0.75	0.75	0.91	0.45	0.60	0.42	0.45	0.53	0.40	
	0.43	0.80	0.61	0.39	0.25	0.23	0.37	0.31	0.40	0.78	0.39	0.28	0.70	
	0.25	0.17	0.43	0.28	0.38	0.28	0.16	0.16	0.31	0.64	0.34	0.44	0.14	

C3	0.36	0.73	0.45	0.55	0.64	0.45	0.36	0.91	0.82	0.27	1.00	0.55	0.09	
	0.36	0.82	0.45	0.36	0.73	0.64	0.36	0.36	0.91	0.73	0.45	0.64	0.45	
	1.00	0.18	0.00	0.91	0.73	0.55	0.36	0.45	0.36	0.55	0.27	0.82	0.82	
	0.55	0.00	0.18	0.27	1.00	0.18	0.18	0.36	0.45	1.00	0.45	0.45	0.36	

C4	0.04	0.05	0.04	0.03	0.04	0.04	0.07	0.04	0.01	0.05	0.08	0.03	0.02	
	0.06	0.07	0.05	0.02	0.08	0.10	0.05	0.06	0.12	0.17	0.11	0.12	0.17	
	0.06	0.03	0.04	0.05	0.04	0.11	0.06	0.07	0.05	0.06	0.07	0.04	0.06	
	0.04	0.08	0.04	0.14	0.08	0.12	0.07	0.13	0.05	0.20	0.11	0.09	0.02	

C5	0.13	0.11	0.08	0.10	0.17	0.10	0.14	0.10	0.09	0.12	0.10	0.17	0.09	
	0.12	0.09	0.05	0.11	0.09	0.17	0.13	0.22	0.19	0.08	0.15	0.20	0.43	
	0.10	0.15	0.19	0.17	0.17	0.14	0.13	0.15	0.17	0.08	0.25	0.35	0.25	
	0.15	0.19	0.26	0.21	0.16	0.18	0.33	0.25	0.21	0.31	0.50	0.22	0.47	

C6	0.05	0.03	0.09	0.08	0.10	0.13	0.17	0.09	0.08	0.11	0.07	0.06	0.19	
	0.23	0.21	0.13	0.15	0.07	0.10	0.09	0.08	0.11	0.17	0.08	0.34	0.26	
	0.08	0.09	0.15	0.12	0.08	0.17	0.22	0.27	0.16	0.20	0.13	0.12	0.09	
	0.21	0.18	0.23	0.14	0.25	0.16	0.37	0.38	0.32	0.23	0.19	0.70	0.22	

C7	0.30	0.55	0.25	0.63	0.43	0.30	0.27	0.50	0.80	0.36	0.40	0.29	0.30	
	0.39	0.25	0.36	0.54	0.71	0.19	0.18	0.57	0.52	0.25	0.33	0.58	0.41	
	0.33	0.32	0.30	0.25	0.34	0.20	0.21	0.26	0.21	0.59	0.32	0.38	0.35	
	0.29	0.39	0.62	0.38	0.29	0.28	0.60	0.36	0.36	0.30	0.39	0.22	0.43	

C8	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00	
	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	
	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	
	0.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	

C9	0.49	0.35	0.52	0.38	0.43	0.62	0.45	0.41	0.43	0.44	0.44	0.62	0.59	
	0.48	0.55	0.61	0.53	0.50	0.46	0.65	0.61	0.53	0.66	0.73	0.63	0.78	
	0.21	0.27	0.31	0.25	0.32	0.31	0.37	0.30	0.43	0.33	0.29	0.41	0.43	
	0.32	0.32	0.34	0.30	0.37	0.47	0.38	0.36	0.38	0.36	0.56	0.57	0.75	

C10	0.41	0.45	0.45	0.46	0.42	0.38	0.41	0.60	0.45	0.42	0.62	0.45	0.54	
	0.44	0.46	0.43	0.44	0.58	0.40	0.62	0.41	0.56	0.53	0.47	0.51	0.69	
